Date,Open,High,Low,Close,Adj Close,Volume
2019-06-25,117.343246,117.818123,111.338371,112.316864,112.316864,170290078
2019-06-26,112.304192,112.414703,101.561897,103.918060,103.918060,288013491
2019-06-27,103.941978,105.086678,87.079597,94.414558,94.414558,168991928
2019-06-28,94.488724,102.264328,92.552605,101.642365,101.642365,156736723
2019-06-29,101.674782,101.774956,93.782867,99.962112,99.962112,140176878
2019-06-30,100.008926,100.488365,87.534828,87.744942,87.744942,127287723
2019-07-01,87.759079,93.583115,83.875740,88.423225,88.423225,132758316
2019-07-02,88.441093,88.833931,82.011810,86.264908,86.264908,132861597
2019-07-03,86.238914,92.061852,86.042488,90.001793,90.001793,127688765
2019-07-04,90.004166,93.079460,87.614189,87.823265,87.823265,134452313
2019-07-05,87.768456,91.992935,86.305267,89.129013,89.129013,120405501
2019-07-06,89.141266,98.973083,89.133720,93.939507,93.939507,190744873
2019-07-07,93.987343,107.183220,93.171776,107.183220,107.183220,182719894
2019-07-08,107.095711,107.318138,100.808769,101.586494,101.586494,155828868
2019-07-09,101.597206,104.544312,98.013802,99.418083,99.418083,124628294
2019-07-10,99.450256,101.600616,92.546623,94.937035,94.937035,142132531
2019-07-11,94.920975,94.920975,87.154434,89.114677,89.114677,123706017
2019-07-12,89.251541,98.422386,86.110916,98.250443,98.250443,114154782
2019-07-13,98.234962,98.276299,89.254860,93.363998,93.363998,119385278
2019-07-14,93.419746,94.416260,85.653008,85.917221,85.917221,120701885
2019-07-15,86.107956,90.319572,76.153488,89.496063,89.496063,158841420
2019-07-16,89.387611,89.387611,73.367554,74.016220,74.016220,114381208
2019-07-17,73.818871,80.088112,71.418320,76.458504,76.458504,125827611
2019-07-18,76.533676,85.248657,75.001663,84.121048,84.121048,131312918
2019-07-19,84.109123,84.309639,80.598717,82.296654,82.296654,108366439
2019-07-20,82.277481,87.539490,81.824051,85.322609,85.322609,105663388
2019-07-21,85.273224,87.435471,83.003082,83.957359,83.957359,105487494
2019-07-22,83.966881,85.377037,81.387299,83.181229,83.181229,103711508
2019-07-23,83.179626,83.691292,80.130310,80.862701,80.862701,117356354
2019-07-24,80.862022,81.818642,78.575401,80.488373,80.488373,90737838
2019-07-25,80.468689,83.592323,80.236702,80.682877,80.682877,88391921
2019-07-26,80.702927,81.045525,78.713654,80.293900,80.293900,80951330
2019-07-27,80.288460,83.102882,77.498825,78.865746,78.865746,85930847
2019-07-28,78.743294,82.932373,77.148605,79.490677,79.490677,70562694
2019-07-29,79.427719,80.742233,77.516289,77.958351,77.958351,82931895
2019-07-30,77.972923,80.210052,77.309273,78.376625,78.376625,67774573
2019-07-31,78.323013,82.451546,77.998184,80.681198,80.681198,100162528
2019-08-01,80.612938,82.548782,79.920975,81.966087,81.966087,90181331
2019-08-02,81.897118,85.480698,81.700043,83.912712,83.912712,99591718
2019-08-03,83.927620,88.696426,83.927620,88.193726,88.193726,88705504
2019-08-04,88.191559,89.156815,85.983543,88.180107,88.180107,91749362
2019-08-05,88.184303,94.686638,88.100960,93.654106,93.654106,116283579
2019-08-06,93.617500,96.887138,88.169281,89.743713,89.743713,106237722
2019-08-07,89.742958,97.605103,89.334869,97.485825,97.485825,120008836
2019-08-08,97.454163,97.596497,91.557968,95.154938,95.154938,99485912
2019-08-09,95.191475,95.280769,91.002968,93.362862,93.362862,111949649
2019-08-10,93.328438,94.601875,90.692177,90.884338,90.884338,87008408
2019-08-11,90.847412,92.339752,90.219856,92.253532,92.253532,82229709
2019-08-12,92.276253,92.276253,90.594803,91.181992,91.181992,80671664
2019-08-13,91.191963,91.436737,84.877617,85.524147,85.524147,90797999
2019-08-14,85.512955,85.512955,78.452591,78.484695,78.484695,78512963
2019-08-15,78.579536,82.777321,74.596100,82.526733,82.526733,82268894
2019-08-16,82.517708,83.517471,78.328087,82.498695,82.498695,69374820
2019-08-17,82.556580,83.696442,81.043579,81.988892,81.988892,69658778
2019-08-18,81.997993,88.069748,81.671745,88.024773,88.024773,80774014
2019-08-19,88.070236,90.658318,84.779030,90.153481,90.153481,80391798
2019-08-20,90.146843,90.980804,84.551422,85.741058,85.741058,75036775
2019-08-21,85.765991,86.344513,79.263260,80.565483,80.565483,70469159
2019-08-22,80.548920,83.349709,78.538895,82.253517,82.253517,96683433
2019-08-23,82.253517,83.653229,81.228905,82.168625,82.168625,98854438
2019-08-24,82.127014,82.176613,78.646927,80.736916,80.736916,89694958
2019-08-25,80.751503,82.200981,79.266937,80.373100,80.373100,97178649
2019-08-26,80.426033,83.487724,79.065529,79.704430,79.704430,95830525
2019-08-27,79.728378,79.728378,77.538986,78.208336,78.208336,70865118
2019-08-28,78.633286,79.533104,72.146767,72.365707,72.365707,86518785
2019-08-29,72.328209,72.328209,67.042755,67.160370,67.160370,61387907
2019-08-30,67.171066,68.089806,66.274910,67.850594,67.850594,61604445
2019-08-31,67.857162,68.129967,66.403664,67.535751,67.535751,50249218
2019-09-01,67.514519,74.319244,66.928329,71.776802,71.776802,50287115
2019-09-02,71.745277,73.640610,70.049034,73.177467,73.177467,67068912
2019-09-03,73.211899,75.448730,73.167000,74.928619,74.928619,72236098
2019-09-04,74.910774,74.910904,71.877701,73.927467,73.927467,53928209
2019-09-05,73.948158,76.321648,73.682785,75.963547,75.963547,66866817
2019-09-06,75.966972,79.532654,75.396751,75.603043,75.603043,64191502
2019-09-07,75.622650,78.742012,74.221146,78.394646,78.394646,63405428
2019-09-08,78.439743,79.549889,76.794266,77.375954,77.375954,58161503
2019-09-09,77.404640,77.512955,74.619751,75.146423,75.146423,57047927
2019-09-10,75.167519,75.982498,71.770241,72.229408,72.229408,74484010
2019-09-11,72.294258,74.414162,70.159447,74.361427,74.361427,71687582
2019-09-12,74.390007,75.485413,72.082916,75.129570,75.129570,83013460
2019-09-13,75.155922,76.910728,72.927917,76.910728,76.910728,85283907
2019-09-14,76.830521,76.980042,73.944275,76.037979,76.037979,76842770
2019-09-15,76.069260,76.301506,74.233223,75.691063,75.691063,57294722
2019-09-16,75.698898,76.456306,72.043991,75.345085,75.345085,100063838
2019-09-17,75.341682,75.465935,73.844894,74.283409,74.283409,91576290
2019-09-18,74.200554,82.010445,74.001442,81.765289,81.765289,133480584
2019-09-19,81.763168,81.763168,72.985214,76.026260,76.026260,102437633
2019-09-20,76.088928,77.721481,72.917702,74.006447,74.006447,96275560
2019-09-21,73.997742,74.013863,72.471596,72.826889,72.826889,81569539
2019-09-22,72.824638,74.109673,71.453667,73.188583,73.188583,72664744
2019-09-23,73.176804,73.188705,68.719917,68.719917,68.719917,82509889
2019-09-24,68.704483,70.319870,58.636951,59.216564,59.216564,95665012
2019-09-25,59.136169,61.303188,57.878460,59.864143,59.864143,101072792
2019-09-26,59.870686,60.204227,55.261642,57.574059,57.574059,135169851
2019-09-27,57.542301,58.487728,55.877728,58.041927,58.041927,143938186
2019-09-28,58.032330,58.274269,56.646893,57.979645,57.979645,99077632
2019-09-29,57.998520,58.071720,54.893932,56.164516,56.164516,63364565
2019-09-30,56.167706,57.202042,53.906956,56.816639,56.816639,74691742
2019-10-01,56.870743,58.186699,55.702950,55.842888,55.842888,72773127
2019-10-02,55.842651,56.713337,54.784397,56.060883,56.060883,75303904
2019-10-03,56.060028,56.954159,54.462452,56.271393,56.271393,85119061
2019-10-04,56.277622,57.993896,54.794788,57.668480,57.668480,83529372
2019-10-05,57.600716,57.858238,55.699718,56.500809,56.500809,79461840
2019-10-06,56.496403,56.829987,55.133415,55.495476,55.495476,73400789
2019-10-07,55.446465,57.218575,54.983639,56.552586,56.552586,83666858
2019-10-08,56.552498,57.049431,55.220039,55.869465,55.869465,71783063
2019-10-09,55.855129,57.609776,55.217529,57.446529,57.446529,75137371
2019-10-10,57.404442,57.604095,55.239960,55.951084,55.951084,94627887
2019-10-11,55.940945,56.342194,54.438786,54.483234,54.483234,64153788
2019-10-12,54.465397,55.268494,53.743790,53.811214,53.811214,77422019
2019-10-13,53.819668,54.263599,52.853210,53.525482,53.525482,64022636
2019-10-14,53.506557,53.782146,52.661728,53.021992,53.021992,61816588
2019-10-15,53.037033,53.634506,51.829350,52.188267,52.188267,76185800
2019-10-16,52.149391,55.308460,51.885777,55.088120,55.088120,131307168
2019-10-17,55.072506,60.703766,54.879414,56.053265,56.053265,131613140
2019-10-18,56.053265,58.345814,55.508736,56.506096,56.506096,85291483
2019-10-19,56.319817,56.319817,53.789661,54.698139,54.698139,81939157
2019-10-20,54.677078,57.113262,54.138271,56.423534,56.423534,70720781
2019-10-21,56.435390,59.380920,55.986744,57.838299,57.838299,94407141
2019-10-22,57.848209,58.658810,56.195587,56.658810,56.658810,94681591
2019-10-23,56.750866,57.557064,52.162277,53.009220,53.009220,88273502
2019-10-24,53.013973,54.594177,51.275509,53.552078,53.552078,98450879
2019-10-25,53.585793,60.030006,52.957462,58.971272,58.971272,152920963
2019-10-26,58.959732,64.403503,55.496548,56.730907,56.730907,179221506
2019-10-27,56.786205,61.048843,55.682789,59.752869,59.752869,166355879
2019-10-28,59.789650,61.579220,59.002071,59.548878,59.548878,222423449
2019-10-29,59.502316,63.074684,59.167957,59.864353,59.864353,220871997
2019-10-30,59.767696,59.884727,57.660324,58.620705,58.620705,233444378
2019-10-31,58.659992,60.498707,57.578159,59.295704,59.295704,203587731
2019-11-01,59.262115,61.391098,58.761295,60.871792,60.871792,195288213
2019-11-02,60.919613,63.380013,60.754250,62.306553,62.306553,191554079
2019-11-03,62.363655,65.190353,61.273594,63.467377,63.467377,252599152
2019-11-04,63.343876,63.753201,62.536289,63.133537,63.133537,205552604
2019-11-05,63.123974,63.749252,62.093121,62.984478,62.984478,293290494
2019-11-06,62.929569,64.688301,62.750782,64.208824,64.208824,259001300
2019-11-07,64.187256,66.276024,62.887688,63.505329,63.505329,245474445
2019-11-08,63.520855,63.736275,60.152882,60.890732,60.890732,194099891
2019-11-09,60.843990,62.482334,60.667355,62.182247,62.182247,150673894
2019-11-10,62.212292,64.551414,61.982513,63.902664,63.902664,176219414
2019-11-11,63.891048,64.218246,61.438305,61.929924,61.929924,206142758
2019-11-12,61.933327,65.741699,61.877323,62.257629,62.257629,188591183
2019-11-13,62.252892,65.706177,62.112125,65.330238,65.330238,208429249
2019-11-14,65.322334,65.875618,64.358902,65.538177,65.538177,203792696
2019-11-15,65.553246,65.782669,61.950722,61.958366,61.958366,149260331
2019-11-16,61.951187,63.024078,61.498459,62.007359,62.007359,167735054
2019-11-17,62.002331,63.181324,61.695446,62.144680,62.144680,201294251
2019-11-18,62.134197,62.603943,59.063465,59.375107,59.375107,243555437
2019-11-19,59.391628,60.378891,58.294315,58.964104,58.964104,194201658
2019-11-20,58.955311,59.594051,57.952976,58.251621,58.251621,179910717
2019-11-21,58.271629,58.512489,53.549946,54.144840,54.144840,150665023
2019-11-22,54.146263,54.952023,48.673290,51.266617,51.266617,158097540
2019-11-23,51.272949,52.719299,50.352364,52.110645,52.110645,172231823
2019-11-24,52.098644,52.329414,48.222195,48.222195,48.222195,150228084
2019-11-25,48.233799,52.173084,46.025486,50.200909,50.200909,154562442
2019-11-26,50.225693,52.278503,49.769676,51.720078,51.720078,159826619
2019-11-27,51.448586,57.040676,50.611671,55.963017,55.963017,155100423
2019-11-28,55.970829,57.139252,53.793007,54.031303,54.031303,151831340
2019-11-29,54.040234,56.097542,53.967785,55.954185,55.954185,144980637
2019-11-30,55.956017,56.501308,54.181725,54.765938,54.765938,119581850
2019-12-01,54.779942,54.796032,52.659851,53.586262,53.586262,32630309
2019-12-02,53.599102,54.409100,52.519447,54.031662,54.031662,113404540
2019-12-03,54.026299,55.287964,53.426609,53.426609,53.426609,154822220
2019-12-04,53.455589,55.355618,52.091000,53.051445,53.051445,137140588
2019-12-05,52.993843,54.618416,52.378075,54.006493,54.006493,148653329
2019-12-06,54.002129,55.615612,53.786373,54.245892,54.245892,118978383
2019-12-07,54.239910,55.121292,53.716721,54.723457,54.723457,149451115
2019-12-08,54.767342,55.430141,53.778713,54.243366,54.243366,121427914
2019-12-09,54.245136,54.514439,53.213825,54.310909,54.310909,131692116
2019-12-10,54.379059,54.834641,52.571522,53.007858,53.007858,164652345
2019-12-11,53.002529,53.933094,52.833027,53.068130,53.068130,131916995
2019-12-12,53.036469,54.090076,52.495430,53.306873,53.306873,114782983
2019-12-13,53.292694,53.454350,52.370953,52.619671,52.619671,102891717
2019-12-14,52.647083,52.755184,51.334335,51.593822,51.593822,98556824
2019-12-15,51.626812,52.108551,50.115345,50.924957,50.924957,104854859
2019-12-16,50.922733,51.245052,48.851051,49.448708,49.448708,101870933
2019-12-17,49.452797,49.678352,44.646839,44.944107,44.944107,101487732
2019-12-18,45.063248,48.728214,44.393673,47.932434,47.932434,115846058
2019-12-19,47.970238,49.248119,46.173832,47.865131,47.865131,125632136
2019-12-20,47.816429,47.907555,46.507637,47.058422,47.058422,102434254
2019-12-21,47.048374,47.172310,45.307526,45.531258,45.531258,106102856
2019-12-22,45.525909,48.095284,45.478985,47.455925,47.455925,119713580
2019-12-23,47.473400,48.774200,47.153458,47.343552,47.343552,112661124
2019-12-24,47.335194,48.392029,46.074566,46.208752,46.208752,104538333
2019-12-25,46.212521,47.096836,45.585247,46.500210,46.500210,86017236
2019-12-26,46.509441,46.629211,44.857929,45.307041,45.307041,89292487
2019-12-27,45.296989,46.065495,44.862453,45.344425,45.344425,92836745
2019-12-28,45.329227,45.947250,45.055653,45.548683,45.548683,90986577
2019-12-29,45.516136,47.777405,45.392017,46.829258,46.829258,90219027
2019-12-30,46.841393,47.055759,46.010117,46.498085,46.498085,66565171
2019-12-31,46.503551,46.519176,44.567886,44.567886,44.567886,61657735
2020-01-01,44.578461,45.960217,44.502789,45.753544,45.753544,75903149
2020-01-02,45.764927,46.214603,44.397278,45.749470,45.749470,81645163
2020-01-03,45.642765,51.980942,45.642765,51.092037,51.092037,145826653
2020-01-04,51.054630,51.545418,50.017021,50.536694,50.536694,61952234
2020-01-05,50.536011,54.777561,50.536011,54.096893,54.096893,51316114
2020-01-06,54.092194,58.993687,53.996861,58.970917,58.970917,72292283
2020-01-07,58.962048,59.860298,55.866047,58.818295,58.818295,71803694
2020-01-08,58.765022,59.812523,56.105423,59.464172,59.464172,69698036
2020-01-09,59.487873,59.789852,57.139057,59.197315,59.197315,64810309
2020-01-10,59.175301,59.457352,57.245102,58.574028,58.574028,65556437
2020-01-11,58.523319,63.984764,58.069111,58.450272,58.450272,94891787
2020-01-12,58.453819,59.867191,57.604164,59.324764,59.324764,52045488
2020-01-13,59.296955,59.331799,56.794975,58.005684,58.005684,58833704
2020-01-14,58.010063,63.037773,57.834850,62.821903,62.821903,113675912
2020-01-15,62.768475,68.825089,62.082115,68.338852,68.338852,166405671
2020-01-16,68.329819,68.798058,62.652691,65.680695,65.680695,118716552
2020-01-17,65.688446,71.928421,64.105736,69.176346,69.176346,118624802
2020-01-18,69.090706,70.825157,66.401276,67.189468,67.189468,83759887
2020-01-19,67.226776,69.280052,63.087315,65.126289,65.126289,71810753
2020-01-20,65.164032,66.445518,62.458000,64.989769,64.989769,62026473
2020-01-21,64.980835,66.768158,64.339943,65.962959,65.962959,57432225
2020-01-22,65.947037,66.336594,64.431686,65.034142,65.034142,59334379
2020-01-23,65.053436,65.207077,61.301872,62.533157,62.533157,60781828
2020-01-24,62.606293,62.938892,58.163483,61.764793,61.764793,65482396
2020-01-25,61.763626,62.457104,60.000862,61.521790,61.521790,41758021
2020-01-26,61.510136,64.427269,60.964546,63.870396,63.870396,51959186
2020-01-27,63.883743,66.207497,63.698360,65.584099,65.584099,65532166
2020-01-28,65.567451,67.728004,65.296539,67.721085,67.721085,60865269
2020-01-29,67.780884,70.614624,67.504265,70.040878,70.040878,75659540
2020-01-30,69.975693,74.977409,68.647552,74.977409,74.977409,96778424
2020-01-31,74.956978,75.985237,69.544380,72.087090,72.087090,113417706
2020-02-01,72.075768,73.889458,71.460777,73.337059,73.337059,76400844
2020-02-02,73.323570,77.843819,71.424896,75.039391,75.039391,120996894
2020-02-03,74.982712,78.116806,74.575500,76.824638,76.824638,112774900
2020-02-04,76.847359,77.226181,73.836639,75.272232,75.272232,80747174
2020-02-05,75.244705,78.849426,74.755692,77.994476,77.994476,86614281
2020-02-06,78.011269,79.774734,76.653351,78.086693,78.086693,89213794
2020-02-07,78.102921,80.611099,78.089775,79.565422,79.565422,110193000
2020-02-08,79.584663,81.499573,77.131836,80.673920,80.673920,106189645
2020-02-09,80.632484,87.652130,80.481102,87.619263,87.619263,124583964
2020-02-10,87.709877,87.815880,83.955643,84.824341,84.824341,138845141
2020-02-11,84.838341,89.837563,82.832687,89.821365,89.821365,145122272
2020-02-12,89.828552,95.259583,89.818062,95.240860,95.240860,188475506
2020-02-13,95.224152,96.047096,90.300674,92.461090,92.461090,156870155
2020-02-14,92.269402,94.891441,91.138084,94.819801,94.819801,134937261
2020-02-15,94.784752,96.777382,87.342964,88.874138,88.874138,146497146
2020-02-16,88.974777,91.950371,80.912369,88.419647,88.419647,152273797
2020-02-17,88.153862,88.807549,79.820824,82.400955,82.400955,164389216
2020-02-18,82.424271,86.647270,81.493553,86.102165,86.102165,141145279
2020-02-19,86.099007,86.526001,78.172081,78.189384,78.189384,106656863
